code,last traded price,open,previous close,percent change,high,low,52 week high,52 week low,board lot,par value,market capitalization,outstanding shares,listed shares,issued shares
2GO,6.98,7.14,6.98,0.00,7.14,6.98,7.99,6.00,100,1.00,"17,185,781,285.68","2,462,146,316","2,484,652,900","2,500,662,816"
AAA,,,1.63,,,,1.63,1.61,"1,000",1.00,"1,303,999,969.03","799,999,981","800,000,000","800,000,000"
AB,7.39,7.25,7.45,0.81,7.40,7.23,8.60,5.42,100,1.00,"18,960,250,000.00","2,545,000,000","953,963,474","2,545,000,000"
ABA,2.02,2.05,2.02,0.00,2.05,2.01,2.95,0.80,"1,000",1.00,"8,455,586,738.58","4,185,934,029","3,186,084,819","4,186,084,819"
ABG,,,3.53,,,,6.10,0.0000,"1,000",1.00,"1,059,000,000.00","300,000,000","298,848,944","300,000,000"
ABS,7.20,7.30,7.40,2.70,7.39,7.20,14.44,7.00,100,1.00,"6,679,753,175.20","902,669,348","899,806,671","902,669,348"
ABSP,8.00,7.80,8.00,0.00,8.00,7.80,14.48,0.0000,100,0,"2,202,547,440.00","275,318,430","275,318,430","275,318,430"
AC,696.00,705.50,712.00,2.25,705.50,696.00,915.00,575.50,10,50.00,"440,829,875,096.00","619,143,083","627,098,147","634,387,935"
ACE,,,1.40,,,,1.82,0.0000,"1,000",1.00,"482,646,528.00","344,747,520","346,100,520","346,100,578"
ACEN,7.56,7.55,7.55,0.13,7.57,7.40,11.30,5.41,100,1.00,"299,564,330,536.15","39,677,394,773","39,651,084,010","39,691,894,773"
ACR,0.80,0.80,0.78,2.56,0.80,0.80,1.24,0.75,"1,000",1.00,"4,907,370,000.00","6,291,500,000","6,291,500,000","6,291,500,000"
AEV,56.80,56.75,57.00,0.35,56.80,56.15,65.15,44.85,10,1.00,"320,922,851,049.00","5,630,225,457","5,694,599,621","5,694,599,621"
AGI,11.70,11.88,11.88,1.52,11.88,11.58,13.30,7.68,100,1.00,"109,913,485,322.52","9,251,976,879","10,269,827,979","10,269,827,979"
ALCO,0.54,0.52,0.52,3.85,0.56,0.51,0.64,0.480,"1,000",0.18,"2,765,409,503.48","5,318,095,199","5,318,095,199","5,318,095,199"
ALHI,,,5.89,,,,8.98,0.0000,100,1.00,"6,125,605,890.00","1,040,001,000","1,040,001,000","1,040,001,000"
ALI,29.20,29.75,29.90,2.34,29.85,29.20,39.80,22.35,100,1.00,"441,241,473,936.90","14,757,239,931","14,554,342,880","15,395,366,537"
ALLDY,0.226,0.227,0.228,0.88,0.227,0.220,0.65,0.215,"10,000",0.1,"5,211,429,060.00","22,857,145,000","22,857,145,000","22,857,145,000"
ALLHC,2.88,2.96,2.95,2.37,2.98,2.88,6.81,2.85,"1,000",1.00,"18,589,696,361.65","6,301,591,987","4,898,273,923","6,301,591,987"
ANI,7.25,7.34,7.29,0.55,7.34,6.90,8.09,4.03,100,1.00,"7,468,217,813.52","1,024,446,888","720,000,066","1,024,446,888"
ANS,9.00,8.83,8.99,0.11,9.00,8.81,10.44,7.56,100,1.00,"22,475,000,000.00","2,500,000,000","2,500,000,000","2,500,000,000"
AP,34.00,33.40,33.45,1.64,34.00,33.30,37.45,28.50,100,1.00,"246,145,314,069.15","7,358,604,307","7,358,604,307","7,358,604,307"
APC,0.201,0.193,0.193,4.15,0.202,0.193,0.270,0.171,"10,000",0.01,"1,448,311,371.42","7,504,203,997","5,998,149,059","5,998,149,059"
APL,0.037,0.038,0.038,2.63,0.041,0.036,0.082,0.025,"100,000",0.01,"11,122,081,273.29","292,686,349,297","292,686,349,297","292,686,349,297"
APO,,,0.66,,,,1.08,0.58,"1,000",1.00,"1,982,179,675.08","3,003,302,538","3,016,302,538","3,008,919,508"
APVI,12.00,12.00,12.02,0.17,12.00,12.00,21.15,11.52,100,1.00,"1,202,000,000.00","100,000,000","100,000,000","100,000,000"
APX,1.80,1.80,1.83,1.64,1.83,1.79,2.05,1.32,"1,000",1.00,"11,397,034,108.53","6,227,887,491","6,152,562,788","6,227,887,491"
AR,,,0.0046,,,,0.0000,0.0000,"1,000,000",0.01,"916,755,087.32","199,294,584,200","72,946,882,574","99,294,584,200"
ARA,1.08,1.13,1.09,0.92,1.13,1.08,2.35,0.94,"1,000",1.00,"2,127,012,451.30","1,951,387,570","1,561,110,070","1,951,387,570"
AREIT,34.70,35.25,35.25,1.56,35.60,34.30,52.50,30.55,100,10.00,"53,189,106,052.50","1,508,910,810","1,576,240,780","1,576,240,780"
ASLAG,1.67,1.65,1.65,1.21,1.67,1.63,2.48,1.56,"1,000",1.00,"2,475,000,000.00","1,500,000,000","1,500,000,000","1,500,000,000"
AT,3.57,3.52,3.53,1.13,3.58,3.52,8.40,3.14,"1,000",1.00,"12,565,150,692.22","3,559,532,774","2,087,032,774","3,559,532,774"
ATI,,,14.00,,,,14.50,12.82,100,1.00,"28,000,000,000.00","2,000,000,000","2,000,000,000","2,000,000,000"
ATN,0.355,0.355,0.355,0.00,0.365,0.355,0.94,0.330,"10,000",0.1,"1,428,894,677.30","4,025,055,429","4,025,055,429","4,025,055,429"
AUB,,,39.70,,,,45.20,39.15,100,10.00,"19,266,828,358.60","485,310,538","485,310,538","485,310,538"
AXLM,2.50,2.49,2.50,0.00,2.50,2.48,3.00,2.04,"1,000",1.00,"9,496,013,750.00","3,798,405,500","4,000,000,000","4,000,000,000"
BALAI,0.57,0.56,0.55,3.64,0.57,0.56,1.10,0.55,"1,000",0.05,"822,252,750.00","1,495,005,000","1,495,005,000","1,495,005,000"
BC,4.15,4.11,4.22,1.66,4.15,4.10,7.68,4.05,"1,000",1.00,"1,582,484,208.76","374,996,258","375,307,052","375,307,052"
BCOR,,,7.98,,,,9.30,0.0000,100,1.00,"34,643,419,930.14","4,341,280,693","4,427,009,132","4,427,009,132"
BDO,106.80,108.00,108.00,1.11,109.50,106.60,140.40,106.60,10,10.00,"568,497,933,864.00","5,263,869,758","4,386,688,135","4,386,688,135"
BEL,1.22,1.20,1.22,0.00,1.22,1.20,1.39,1.09,"1,000",1.00,"11,829,686,442.34","9,696,464,297","10,560,999,857","10,560,999,857"
BH,,,662.00,,,,662.00,0.0000,10,100.00,"330,991,394.00","499,987","20,000","499,987"
BHI,,,0.051,,,,0.117,0.047,"10,000",0.1,"612,000,000.00","12,000,000,000","11,901,100,000","12,000,000,000"
BKR,1.46,1.46,1.50,2.67,1.46,1.46,2.78,1.15,"1,000",0.55,"2,292,711,000.00","1,528,474,000","1,528,474,000","1,528,474,000"
BLOOM,7.46,7.51,7.50,0.53,7.55,7.46,7.85,5.50,100,1.00,"81,245,251,215.00","10,832,700,162","11,032,998,225","11,032,998,225"
BMM,52.00,52.00,52.00,0.00,52.00,52.00,74.90,0.0000,10,10.00,"312,000,000.00","6,000,000","6,000,000","6,000,000"
BNCOM,7.80,7.80,7.82,0.26,7.80,7.80,12.58,7.80,100,10.00,"10,971,568,854.40","1,403,013,920","1,403,013,920","1,403,013,920"
BPI,99.80,100.00,100.00,0.20,100.00,99.25,105.90,84.00,10,10.00,"451,312,825,500.00","4,513,128,255","4,486,084,698","4,919,307,531"
BRN,0.70,0.70,0.71,1.41,0.72,0.70,0.97,0.69,"1,000",1.00,"1,684,381,216.81","2,372,367,911","2,477,668,925","2,477,668,925"
BSC,0.280,0.290,0.285,1.75,0.290,0.270,0.64,0.260,"10,000",0.25,"4,180,563,273.24","14,668,643,064","4,187,767,714","14,668,643,064"
C,1.19,1.19,1.20,0.83,1.19,1.19,1.94,1.07,"1,000",1.00,"2,186,373,138.00","1,821,977,615","1,821,977,615","1,821,977,615"
CA,,,32.00,,,,48.00,0.0000,100,10.00,"706,488,672.00","22,077,771","22,077,771","22,077,771"
CAT,,,9.77,,,,13.78,0.0000,100,1.00,"2,330,114,126.80","238,496,840","282,545,960","282,545,960"
CDC,0.65,0.65,0.68,4.41,0.65,0.65,0.78,0.0000,"1,000",1.00,"3,301,482,684.60","4,855,121,595","4,857,059,542","4,857,059,542"
CEB,38.10,38.00,38.05,0.13,38.45,38.00,52.00,35.00,100,1.00,"23,450,736,703.55","616,313,711","629,233,561","629,233,561"
CEI,,,0.080,,,,0.107,0.073,"10,000",0.1,"1,196,799,996.00","14,959,999,950","14,959,999,990","19,775,232,460"
CEU,6.50,6.50,6.12,6.21,6.50,6.49,7.99,0.0000,100,1.00,"2,279,176,128.00","372,414,400","372,414,400","372,414,400"
CHI,,,6.08,,,,6.12,6.08,100,1.00,"13,113,080,316.48","2,156,756,631","2,916,844,623","2,916,844,623"
CHIB,27.60,27.45,27.60,0.00,27.70,27.45,31.00,24.10,100,10.00,"74,279,554,651.20","2,691,288,212","2,691,288,212","2,691,288,212"
CHP,0.62,0.62,0.62,0.00,0.63,0.62,1.11,0.58,"1,000",1.00,"8,363,320,506.26","13,489,226,623","13,489,226,623","13,489,226,623"
CIC,,,17.10,,,,22.70,14.86,100,1.00,"6,804,303,596.10","397,912,491","407,263,891","407,263,891"
CIP,,,150.00,,,,150.00,0.0000,10,10.00,"1,544,490,150.00","10,296,601","10,296,688","10,296,688"
CLI,2.57,2.67,2.63,2.28,2.75,2.57,3.06,2.19,"1,000",1.00,"9,113,479,858.21","3,465,201,467","3,623,451,997","3,623,451,997"
CNPF,25.00,24.65,25.00,0.00,25.50,24.65,29.25,19.80,100,1.00,"88,556,464,875.00","3,542,258,595","3,542,258,595","3,542,258,595"
